"probe"	"gene"	"CTRL"	"CTRL.1"	"CTRL.2"	"IFN.1"	"IFN.1.1"	"IFN.1.2"	"TNF.1"	"TNF.1.1"	"TNF.1.2"	"TNF.IFN.1"	"TNF.IFN.1.1"	"TNF.IFN.1.2"
"2012"	"TOPBP1"	"TOPBP1"	8.45862466552692	8.25614258228107	8.62296878457496	8.49472857065982	8.90912122237052	8.81202646207809	9.10348615760789	9.17043224195622	9.08231672710013	8.85932146519462	8.78320198532952	8.76457256485063
"2013"	"POLR2K"	"POLR2K"	11.4835363180563	11.7039806562416	11.4416302466952	11.1084630788417	10.8949476544479	11.3223972460281	11.0160749195192	11.142365859851	11.2808886239452	11.1427308935111	11.2808886239452	11.2990583768824
"2014"	"RNF103"	"RNF103"	8.9579979903103	8.97212613711065	8.87387884620379	8.62428991318761	8.57541414863827	8.77277620744157	8.14783057637635	8.24186863026308	8.22846869050848	8.69845571885767	8.59942298208457	8.87016494385284
"2015"	"ICAM1"	"ICAM1"	14.3379961289115	14.122539027731	14.4335251814299	10.6568308373248	10.8194849302805	10.8759721746884	13.967473170042	13.8826277106112	13.9195829854585	12.4414304256762	12.2846726850419	12.1889177754844
"2016"	"RANBP3"	"RANBP3"	6.12750837818613	5.72435743282892	6.16516913222483	6.80579117945453	6.4471281343078	6.59050434103816	6.52288786003438	6.49516699264982	6.53037296155237	6.5220405580773	6.28896706142541	6.47463781449971
"2017"	"TRRAP"	"TRRAP"	5.50366054262524	4.35593397290712	5.70048011041716	6.11462544585516	6.89133730088058	6.34589856244727	6.64417338503164	6.43384114170914	6.41045899561285	6.69390797118398	6.11774347588975	6.18248562003091
"2018"	"TNFAIP3"	"TNFAIP3"	13.5131242985307	13.3631429408102	13.568096219797	9.36783398021764	9.44186059361625	9.75228993106383	13.8947568230925	13.8974119249659	13.9148430854228	10.4321967429206	10.2790877509255	10.4080957911065
"2019"	"MEN1"	"MEN1"	4.46516423044091	4.54003995711553	3.86191566596918	6.48253417734205	6.5338816089415	5.63185300808998	6.00325109883149	5.82630787994477	5.82702842010683	5.60660757052282	5.62215184480842	5.50305902956273
"2020"	"CSDE1"	"CSDE1"	12.9170960641939	13.0577324138313	13.0007610665205	13.0180925064983	12.9082178500543	12.9195012451886	12.9244472693538	12.9176724397315	12.9115061461423	12.9843999109436	12.9244472693538	12.9102763805692
"2021"	"NRAS"	"NRAS"	11.747834868293	12.0025907694847	11.7563885709034	11.3645820101397	11.3791249042642	11.1892819149433	11.1899963369041	11.0843231208089	11.0354778475169	11.182699524362	11.2885075082002	11.3028038147782
"2022"	"RPS19"	"RPS19"	14.5202383185339	14.4555144088602	14.4327426320539	14.6731363525312	14.5919191813778	14.6182305764572	14.4635725039877	14.4662918676909	14.4800415366552	14.4240199934941	14.4722786226758	14.5220636503932
"2023"	"KIAA0195"	"KIAA0195"	6.07137656132427	5.32274350549171	5.57218658675942	6.11085909252346	6.30260287749221	6.52318755222377	6.29445039213147	6.41033318179596	6.4750810581672	6.54533436125528	6.49686408741181	6.40792263458097
"2024"	"MARCH7"	"MARCH7"	11.767053123521	11.8840101764548	11.8354774896916	10.7184621205569	11.54941349886	11.5909798498215	11.7431628984991	11.8532526290302	11.674072482472	11.7895254857196	11.8043347108815	11.6916699843003
"2025"	"MANF"	"MANF"	9.80114851921093	9.88263175924424	9.78485918962591	10.2409495565787	10.115015533595	10.1496771478939	9.77934666250675	9.82627516446572	9.84615694146561	9.45329086812014	9.55346574664171	9.70567994612044
"2026"	"SERTAD2"	"SERTAD2"	10.1923977899493	9.9393282052219	10.3012417466588	9.39854275725184	9.47981205279391	9.73190846131149	9.48927501513204	9.60152350883287	9.50253019449912	8.84884045986824	8.7730734709189	8.90037807441298
"2027"	"PEX11B"	"PEX11B"	8.19311714572103	8.32417411281588	7.98135494398512	10.0261092094468	9.95329381271504	9.859404027951	9.40150453679832	9.47525585759339	9.41690062840134	9.34316574805537	9.30291891936047	9.40288099229631
"2028"	"PSMB10"	"PSMB10"	10.9634369121545	11.0072318692777	10.7448961024392	11.2854876663831	11.1994585071064	11.2295922478298	10.7578484110555	10.7782713098246	10.8171013598478	11.0163736398252	11.1458769205308	11.2776258078854
"2029"	"ITPR2"	"ITPR2"	10.1750911579778	10.4350495945582	10.6926647308049	9.96428874553984	10.2081601726612	10.3750424649557	10.895051184198	10.8306072387298	10.7051250498575	10.5792818886919	10.5515032262803	10.6047964887128
"2030"	"WIPF1"	"WIPF1"	12.1480240571744	12.2081516313835	12.2309787628198	12.4167187425575	12.8628083860741	12.7660323805476	13.1243713943081	13.129388691951	12.91011479672	12.8784770177041	12.7515025264813	12.6464146650763
"2031"	"ACTL6A"	"ACTL6A"	9.15632342811066	9.54128055474941	9.39552341099961	8.72505867230218	8.93212994130047	9.02254959556833	9.53256477374411	9.48757652984626	9.39676940350884	9.19479438661286	9.39785468471872	9.39084117935528
"2032"	"SLC39A7"	"SLC39A7"	7.86302654717878	8.02091821154404	7.60440454387553	8.13647998169977	7.92269657204569	7.62101215428997	7.46099446213432	7.53510998177204	6.90680544343246	7.51205711175356	7.68584613414897	7.69698605047893
"2033"	"MAP2K1"	"MAP2K1"	10.6189796768391	10.6092256323555	10.654433972903	10.9366203384892	10.6645386246503	10.6908776227251	10.5670997022862	10.6492865986593	10.4425178876855	10.6739924169042	10.6258646089039	10.577418629396
"2034"	"PDXK"	"PDXK"	11.6235944099438	11.4824071284023	11.4817966545413	11.4085215263633	11.2455723172949	11.3084162314266	10.9370907911722	11.0297968054344	11.2038788175382	11.1032672094439	11.300778948117	11.329184258602
"2035"	"DPM1"	"DPM1"	11.8467332832507	12.0100450118353	12.0027901302877	11.4225786770247	11.3613434332936	11.61156660323	11.4358228187387	11.5711463873123	11.501856097692	11.5471994241359	11.5651590956921	11.5787044578707
